codigo_animal,id_coleta,parasita
5617,2,0
5604,2,0
5623,2,0
5630,2,1
5606,2,0
5601,2,1
5600,2,0
5603,2,1
5602,2,2
5628,2,2
5607,2,2
5028,2,2
5611,2,1
5015,2,1
5024,2,0
5609,2,2
5616,2,1
5614,2,1
5638,2,0
5022,2,0
5610,2,0
5038,2,1
5039,2,1
5021,2,0
