codigo_animal,id_coleta,reatividade,ordem_entrada
5603,2,2046,2
5604,2,7656,10
5600,2,2023,9
5601,2,4040,11
5611,2,4325,16
5616,2,4239,12
5038,2,888,3
5628,2,2707,19
5606,2,2710,8
5609,2,897,1
5021,2,2415,15
5638,2,1894,22
5617,2,2761,4
5022,2,4978,14
5039,2,6932,13
5623,2,3355,21
5028,2,5481,5
5602,2,2991,6
5015,2,1701,23
5610,2,1677,18
5607,2,4099,7
5614,2,1019,20
5024,2,1086,17
5630,2,1731,24
